instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V,implied_vol,price_heston_analytical,price_heston_monte_carlo,mc_error_abs,mc_error_rel
BTC-8JUN26-60000-C,call,62901.03,60000.0,0.001,0.045,2924.897895,0.8179134810254531,2916.0639606221303,2905.1316194660976,10.932341156032635,0.0037490059558571084
BTC-8JUN26-60500-C,call,62910.77,60500.0,0.001,0.045,2422.064645,0.6017404689345789,2420.2572188061677,2417.938351456225,2.318867349942593,0.000958107812642498
BTC-8JUN26-61000-C,call,62908.37,61000.0,0.001,0.045,1934.4323775,0.588323399571589,1915.3119953773348,1900.9655096278555,14.34648574947937,0.007490417114342238
BTC-8JUN26-61000-P,put,62908.37,61000.0,0.001,0.045,9.4362555,0.4997128185331114,4.197057138902892,2.246212239696462,1.9508448992064298,0.46481256619641337
BTC-8JUN26-61500-C,call,62908.37,61500.0,0.001,0.045,1446.89251,0.5083302015526625,1428.4673332272869,1429.220238397965,0.7529051706781047,0.0005270720254953903
BTC-8JUN26-61500-P,put,62908.38,61500.0,0.001,0.045,18.872514,0.4407793745210462,17.329422048882407,14.046452298325246,3.282969750557161,0.18944484941832687
BTC-8JUN26-62000-C,call,62908.61,62000.0,0.001,0.045,975.083455,0.4350741304667542,970.7756900937893,961.3630220624624,9.412668031326916,0.009696027751186819
BTC-8JUN26-62000-P,put,62908.61,62000.0,0.001,0.045,34.5997355,0.3627751690990277,59.37575286784704,54.806735314533775,4.569017553313266,0.07695089885399103
BTC-8JUN26-62500-C,call,62909.52,62500.0,0.001,0.045,503.27616,0.3079301963724843,575.3627785473,573.3051051288722,2.0576734184277257,0.0035763061065976942
BTC-8JUN26-62500-P,put,62910.66,62500.0,0.001,0.045,100.6570559999937,0.3236468096649322,162.69202180505818,162.04388119256967,0.6481406124885041,0.0039838500087307485
BTC-8JUN26-63000-C,call,62911.56,63000.0,0.001,0.045,173.00679,0.2682901595639196,287.1807177716182,286.99029060006103,0.19042717155718947,0.0006630917738308167
BTC-8JUN26-63000-P,put,62911.56,63000.0,0.001,0.045,261.082974,0.2714413557875562,372.7857815581665,374.9992542173488,2.213472659182287,0.005937653120594983
BTC-8JUN26-63500-C,call,62920.43,63500.0,0.001,0.045,34.606236499993706,0.2591278450880495,121.75674405453174,119.2808328538291,2.4759112007026403,0.020334899885247774
BTC-8JUN26-63500-P,put,62922.53,63500.0,0.001,0.045,644.9559324999937,0.3309478731390251,696.8658196639735,703.5900926679172,6.724273003943722,0.00964930810810343
BTC-8JUN26-64000-C,call,62921.63,64000.0,0.001,0.045,15.7304075,0.3354502826014526,43.617432311875746,38.04646258047211,5.570969731403636,0.12772346825851152
BTC-8JUN26-64500-P,put,62921.1,64500.0,0.001,0.045,1997.744925,1.2720564730510324,1588.3594332823923,1589.7185053505816,1.3590720681893345,0.0008556451642565382
BTC-8JUN26-65500-P,put,62921.24,65500.0,0.001,0.045,2658.42239,0.9537210322882568,2583.760633112506,2584.3754078143907,0.6147747018844711,0.00023793794750401773
BTC-9JUN26-58500-C,call,62962.21,58500.0,0.0031481430349124,0.045,4533.279119999999,0.814704095069398,4493.84660503365,4463.585639293718,30.260965739932544,0.006733867085279816
BTC-9JUN26-58500-P,put,62962.21,58500.0,0.0031481430349124,0.045,110.1838675,0.9239584901793793,23.349705495864328,0.34898161068844663,23.00072388517588,0.9850541322351899
BTC-9JUN26-59000-C,call,62965.13,59000.0,0.0031481430349124,0.045,4061.250885,0.7967432700554095,3993.151829917675,3980.8623835196345,12.289446398040582,0.003077630634018228
BTC-9JUN26-59000-P,put,62969.81,59000.0,0.0031481430349124,0.045,138.5335819999937,0.893440610966494,19.690966659145488,1.09022758440345,18.600739074742037,0.9446331100308327
BTC-9JUN26-59500-C,call,62965.16,59500.0,0.0031481430349124,0.045,3589.014119999994,0.7673437524940349,3491.702873292692,3468.0608545275254,23.64201876516654,0.006770913683979075
BTC-9JUN26-59500-P,put,62965.16,59500.0,0.0031481430349124,0.045,176.302448,0.8633973480053823,18.114317352548824,3.711441108214529,14.402876244334294,0.7951100758598391
BTC-9JUN26-60000-C,call,62965.35,60000.0,0.0031481430349124,0.045,3164.0088375,0.7901208537809242,2994.967198220089,2991.955492085803,3.0117061342857596,0.0010055890215010096
BTC-9JUN26-60000-P,put,62964.66,60000.0,0.0031481430349124,0.045,223.524543,0.832672511710928,21.126284789977944,9.852887702715401,11.273397087262543,0.5336194792096387
BTC-9JUN26-60500-C,call,62966.06,60500.0,0.0031481430349124,0.045,2723.282095,0.7637236369968219,2508.0195236965155,2476.839239651669,31.180284044846758,0.01243223338185614
BTC-9JUN26-60500-P,put,62969.11,60500.0,0.0031481430349124,0.045,280.2125395,0.7990464859916171,33.27814888484863,23.033253484835924,10.244895400012709,0.30785652878298037
BTC-9JUN26-61000-C,call,62969.97,61000.0,0.0031481430349124,0.045,2314.1463975,0.7486570568728643,2041.2698406801646,2036.2420650570537,5.027775623110983,0.002463062708767448
BTC-9JUN26-61000-P,put,62978.26,61000.0,0.0031481430349124,0.045,362.124995,0.7757659247245622,62.00272228087124,51.3214682543633,10.681254026507936,0.17227072672909496
BTC-9JUN26-61500-C,call,62969.1,61500.0,0.0031481430349124,0.045,1904.815275,0.7153982988757287,1598.7055369543887,1589.6504937936943,9.055043160694368,0.0056639843619636565
BTC-9JUN26-61500-P,put,62967.36,61500.0,0.0031481430349124,0.045,440.77151999999376,0.7267381588663153,121.15238929008774,117.28033632719496,3.8720529628927807,0.0319601865516785
BTC-9JUN26-62000-C,call,62967.36,62000.0,0.0031481430349124,0.045,1526.95848,0.6872401485506262,1198.0922157226378,1200.7623181178337,2.670102395195954,0.002228628447924155
BTC-9JUN26-62000-P,put,62967.28,62000.0,0.0031481430349124,0.045,582.4473399999999,0.7117078646310422,221.9691968847037,221.09679523066384,0.8724016540398623,0.003930282517952296
BTC-9JUN26-62500-C,call,62961.62,62500.0,0.0031481430349124,0.045,1180.530375,0.6597987198939477,851.1195521282789,853.8213704024732,2.701818274194352,0.003174428630429512
BTC-9JUN26-62500-P,put,62963.76,62500.0,0.0031481430349124,0.045,724.08324,0.6706373519515855,379.8573140169756,373.26212378152326,6.595190235452321,0.017362283131285412
BTC-9JUN26-63000-C,call,62964.96,63000.0,0.0031481430349124,0.045,881.50944,0.6345709813621154,575.3032179803995,574.7796994121697,0.523518568229747,0.00090998720651617
BTC-9JUN26-63000-P,put,62969.3,63000.0,0.0031481430349124,0.045,913.0548499999936,0.6399542140211908,599.2390918832825,599.8301848051847,0.5910929219021455,0.0009864058101491087
BTC-9JUN26-63500-C,call,62968.86,63500.0,0.0031481430349124,0.045,613.946385,0.6003196883719693,366.4842315155365,366.89801191924465,0.41378040370813096,0.0011290537712823517
BTC-9JUN26-63500-P,put,62960.75,63500.0,0.0031481430349124,0.045,1164.773875,0.6177185694320076,893.789783663975,880.7702462647502,13.01953739922476,0.014566666163773834
BTC-9JUN26-64000-C,call,62957.61,64000.0,0.0031481430349124,0.045,409.224465,0.5806815386384244,215.87562240081388,203.64395246428322,12.231669936530665,0.05666072806414547
BTC-9JUN26-64000-P,put,62935.62,64000.0,0.0031481430349124,0.045,1541.92269,0.6473548288624594,1265.874459051549,1250.6466184547062,15.227840596842725,0.012029502995306597
BTC-9JUN26-64500-C,call,62937.27,64500.0,0.0031481430349124,0.045,264.336534,0.5726303543399675,118.44013495602667,111.59995568288461,6.840179273142056,0.057752207692786
BTC-9JUN26-64500-P,put,62933.55,64500.0,0.0031481430349124,0.045,2190.08754,0.8846653512106853,1675.2054592967615,1684.118277142077,8.91281784531543,0.005320432664454761
BTC-9JUN26-65000-C,call,62933.55,65000.0,0.0031481430349124,0.045,157.333875,0.5568703401953068,64.01262833162946,61.155139082787855,2.8574892488416026,0.04463946135812206
BTC-9JUN26-65500-C,call,62931.97,65500.0,0.0031481430349124,0.045,88.104758,0.5439619303927101,35.75936351571272,25.440511517794736,10.318851997917985,0.2885636371403497
BTC-9JUN26-66000-C,call,62932.29,66000.0,0.0031481430349124,0.045,56.639061,0.5571155846627517,23.25090421334039,12.200077047620246,11.050827165720145,0.4752859099294575
BTC-9JUN26-67000-C,call,62949.58,67000.0,0.0031481430349124,0.045,18.884874,0.5629863852252853,20.075706513562874,2.1813762638688963,17.89433024969398,0.8913424908660033
BTC-9JUN26-68000-C,call,62953.68,68000.0,0.0031481430349124,0.045,9.443052,0.6093872913170046,27.13843919087219,0.08028855614701479,27.058150634725177,0.9970415190209605
BTC-9JUN26-68000-P,put,62951.65,68000.0,0.0031481430349124,0.045,5099.0836500000005,0.8246351326405414,5065.874995310318,5044.569669343941,21.305325966376586,0.004205655683588674
